status,employee,industry,manager,age
Growth,24,Technology,40,30
Growth,40,Food,27,8
Growth,28,Technology,15,4
Growth,27,Food,29,30
No growth,40,Food,50,23
Growth,80,Services,10,14
Growth,7,Technology,9,10
Growth,45,Food,20,24
Growth,130,Services,20,4
No growth,6,Retail,35,40
No growth,10,Food,55,8
Growth,40,Technology,25,26
Growth,20,Food,40,32
No growth,40,Technology,40,76
Growth,25,Food,32,54
Growth,5,Retail,28,25
Growth,5,Technology,26,21
No growth,78,Food,50,34
Growth,28,Technology,40,32
Growth,80,Technology,35,40
Growth,44,Food,53,30
No growth,119,Food,40,35
No growth,600,Food,30,49
No growth,7,Services,33,22
Growth,12,Services,20,15
Growth,25,Food,12,35
Growth,7,Services,40,6
Growth,65,Technology,6,24
No growth,6,Technology,20,44
No growth,115,Retail,45,28
No growth,13,Food,15,17
Growth,52,Technology,20,9
Growth,6,Services,19,5
Growth,26,Technology,22,45
Growth,20,Food,40,13
No growth,108,Food,40,15
No growth,12,Retail,8,15
No growth,7,Retail,40,41
No growth,33,Retail,30,61
Growth,5,Food,30,31
No growth,8,Technology,40,41
Growth,40,Technology,22,46
No growth,25,Food,30,32
No growth,40,Food,28,25
Growth,20,Food,23,24
No growth,32,Technology,34,36
Growth,620,Food,40,36
Growth,90,Services,45,51
No growth,589,Retail,25,28
No growth,6,Retail,30,53
No growth,70,Food,50,61
Growth,22,Food,10,3
No growth,11,Services,31,8
Growth,5,Food,40,22
Growth,5,Services,25,11
No growth,20,Food,10,11
No growth,8,Food,30,7
Growth,55,Services,25,9
Growth,68,Services,15,14
No growth,10,Services,35,41
Growth,195,Food,35,29
Growth,200,Food,33,25
Growth,95,Food,66,67
Growth,1020,Technology,15,32
No growth,22,Retail,35,40
No growth,190,Services,40,6
No growth,740,Technology,27,58
Growth,80,Services,30,32
No growth,140,Services,3,76
No growth,5,Services,25,40
No growth,9,Food,32,33
Growth,5,Services,19,4
Growth,8,Technology,15,21
Growth,5,Technology,25,22
Growth,16,Retail,30,9
No growth,150,Services,25,78
No growth,14,Food,57,37
No growth,16,Food,9,18
Growth,6,Technology,20,15
Growth,18,Technology,7,17
No growth,5,Retail,NA,13
Growth,30,Technology,12,13
Growth,350,Food,40,33
Growth,16,Food,50,22
No growth,8,Retail,25,22
Growth,75,Food,30,52
No growth,12,Services,35,16
Growth,23,Food,30,28
Growth,10,Technology,25,21
Growth,40,Food,20,23
Growth,16,Technology,37,44
No growth,5,Technology,50,46
Growth,43,Technology,25,6
Growth,270,Food,30,29
No growth,13,Retail,34,20
Growth,20,Technology,35,31
Growth,12,Services,10,7
Growth,6,Food,40,6
No growth,220,Services,50,20
No growth,12,Food,30,31
No growth,7,Food,49,92
Growth,310,Food,10,66
Growth,8,Technology,35,33
No growth,23,Food,21,23
No growth,6,Retail,26,27
Growth,14,Food,55,40
Growth,230,Food,26,27
Growth,7,Food,6,6
No growth,10,Retail,28,27
No growth,20,Food,4,94
No growth,5,Retail,45,43
Growth,5,Food,30,31
Growth,154,Technology,20,28
No growth,94,Food,42,59
Growth,72,Food,35,112
Growth,300,Services,34,29
No growth,120,Retail,25,16
Growth,54,Technology,48,24
Growth,8,Services,12,6
Growth,5,Services,5,7
No growth,5,Retail,25,7
Growth,22,Food,40,40
Growth,120,Food,52,29
No growth,6,Retail,30,18
No growth,216,Retail,40,22
Growth,9,Services,15,10
Growth,25,Technology,14,15
Growth,200,Food,50,37
No growth,26,Services,25,20
No growth,7,Food,30,31
No growth,36,Retail,45,9
Growth,20,Food,20,21
Growth,28,Technology,15,8
Growth,13,Services,2,32
No growth,7,Retail,20,67
Growth,52,Technology,30,30
Growth,10,Services,40,14
Growth,6,Services,45,9
Growth,39,Services,14,12
Growth,40,Food,45,42
Growth,135,Services,35,16
No growth,5,Services,40,48
No growth,7,Technology,20,55
Growth,6,Services,25,19
Growth,6,Services,10,8
Growth,14,Technology,35,35
Growth,11,Services,20,10
Growth,150,Technology,33,19
Growth,220,Food,26,148
No growth,20,Services,20,6
Growth,16,Technology,40,51
Growth,70,Food,42,203
No growth,14,Technology,45,101
No growth,16,Food,20,22
Growth,8,Technology,20,6
Growth,270,Food,20,23
Growth,6,Technology,40,31
Growth,8,Food,40,19
No growth,160,Services,40,9
No growth,40,Technology,50,40
Growth,32,Technology,36,27
Growth,16,Services,20,8
Growth,15,Food,30,56
Growth,6,Technology,40,38
Growth,18,Services,40,20
Growth,20,Food,30,34
Growth,7,Technology,30,19
Growth,80,Technology,25,28
Growth,56,Technology,50,45
Growth,116,Food,35,36
No growth,10,Food,25,37
Growth,23,Food,40,40
No growth,5,Services,18,19
Growth,30,Technology,70,62
Growth,28,Technology,25,25
Growth,248,Retail,30,24
Growth,12,Technology,25,13
No growth,28,Services,43,30
Growth,6,Technology,40,17
Growth,150,Food,60,57
Growth,20,Technology,20,13
Growth,25,Food,35,22
Growth,11,Services,4,12
Growth,9,Food,45,41
Growth,65,Technology,35,32
Growth,7,Technology,50,43
No growth,13,Services,51,52
Growth,12,Food,40,42
No growth,10,Services,15,17
Growth,20,Services,24,19
Growth,10,Technology,31,23
No growth,7,Services,40,35
Growth,7,Food,20,10
Growth,10,Food,16,18
Growth,5,Food,15,10
No growth,20,Retail,16,6
Growth,7,Technology,39,12
Growth,6,Technology,15,10
Growth,118,Services,42,20
No growth,5,Retail,15,10
Growth,10,Technology,25,27
Growth,7,Technology,16,6
Growth,65,Services,50,23
Growth,168,Services,14,10
No growth,9,Food,40,28
Growth,7,Technology,35,12
No growth,8,Food,40,10
No growth,6,Services,40,33
Growth,23,Technology,35,68
No growth,110,Services,38,11
No growth,9,Technology,10,24
No growth,23,Food,25,21
No growth,170,Retail,20,32
Growth,15,Services,25,8
Growth,34,Technology,9,12
Growth,5,Services,20,18
No growth,72,Services,20,6
Growth,130,Food,47,35
No growth,5,Services,25,26
No growth,8,Services,47,23
Growth,34,Technology,12,11
No growth,11,Services,18,20
Growth,230,Technology,35,39
No growth,11,Food,12,4
Growth,90,Technology,40,33
No growth,5,Retail,28,36
Growth,17,Services,50,18
Growth,7,Technology,30,31
Growth,6,Food,12,8
No growth,70,Services,10,51
No growth,31,Food,40,27
Growth,170,Food,52,57
Growth,6,Technology,60,51
Growth,36,Technology,40,15
No growth,6,Services,30,52
No growth,153,Technology,40,67
Growth,10,Food,15,16
No growth,10,Services,30,19
Growth,40,Technology,49,16
No growth,6,Food,50,43
Growth,150,Technology,30,15
No growth,7,Technology,43,42
No growth,17,Retail,40,11
No growth,47,Technology,35,23
No growth,5,Retail,15,11
Growth,52,Food,18,17
Growth,14,Food,6,18
No growth,78,Food,45,40
No growth,6,Food,25,10
Growth,150,Retail,30,32
Growth,21,Services,35,18
Growth,150,Food,32,8
Growth,12,Technology,14,13
Growth,5,Services,6,7
Growth,36,Technology,30,47
Growth,18,Food,17,18
No growth,11,Services,35,21
Growth,40,Technology,20,96
Growth,250,Services,30,15
Growth,8,Food,40,13
Growth,50,Food,40,28
Growth,19,Technology,15,9
Growth,6,Services,1,8
No growth,7,Retail,20,13
Growth,38,Technology,45,34
Growth,40,Food,25,20
Growth,10,Services,20,3
No growth,28,Food,10,10
Growth,24,Technology,30,21
No growth,6,Food,45,86
Growth,5,Technology,23,23
Growth,250,Food,30,55
Growth,5,Services,10,12
Growth,23,Technology,30,31
No growth,5,Retail,6,22
Growth,7,Services,40,20
Growth,27,Services,30,50
No growth,30,Services,50,22
Growth,99,Technology,50,53
Growth,135,Technology,40,53
Growth,25,Technology,25,17
Growth,211,Services,47,4
No growth,10,Services,30,25
Growth,80,Food,35,20
No growth,5,Retail,16,7
Growth,12,Food,28,29
No growth,17,Retail,20,62
Growth,18,Technology,30,32
Growth,68,Technology,27,21
Growth,120,Food,30,54
Growth,90,Food,40,36
Growth,347,Food,20,29
Growth,17,Technology,31,17
No growth,21,Retail,20,23
No growth,5,Food,19,20
Growth,9,Services,30,13
Growth,5,Technology,26,22
No growth,10,Technology,20,21
No growth,146,Services,20,18
Growth,115,Food,25,26
Growth,450,Technology,30,29
No growth,7,Services,25,26
Growth,144,Food,25,26
Growth,14,Technology,7,9
Growth,8,Technology,25,28
No growth,112,Food,10,7
Growth,48,Food,30,18
Growth,163,Food,15,29
No growth,106,Services,15,16
Growth,40,Food,18,19
Growth,18,Services,10,9
No growth,3,Services,25,28
No growth,5,Services,11,13
No growth,12,Food,20,6
No growth,420,Services,55,29
Growth,15,Services,5,5
Growth,17,Food,25,29
Growth,12,Food,20,20
Growth,10,Technology,16,17
Growth,224,Services,15,12
No growth,29,Food,20,14
Growth,5,Services,3,4
Growth,38,Technology,15,17
Growth,350,Food,30,26
Growth,7,Food,27,27
Growth,8,Food,15,9
No growth,110,Food,20,17
Growth,8,Services,15,15
No growth,12,Food,24,26
No growth,9,Retail,30,29
Growth,13,Services,32,17
No growth,4,Services,15,28
No growth,33,Services,25,26
Growth,10,Technology,10,9
Growth,15,Food,25,28
Growth,10,Food,15,25
No growth,148,Technology,20,22
No growth,8,Food,10,11
No growth,68,Food,30,29
Growth,35,Technology,20,29
Growth,210,Food,25,25
Growth,5,Services,15,9
No growth,6,Retail,52,29
Growth,29,Technology,38,21
No growth,18,Food,10,11
Growth,110,Food,9,9
No growth,290,Food,19,19
Growth,5,Services,15,16
Growth,7,Food,10,9
No growth,445,Food,10,29
No growth,9,Retail,25,26
Growth,587,Food,25,26
No growth,150,Services,25,14
Growth,6,Services,18,19
No growth,24,Retail,25,28
Growth,25,Technology,20,8
Growth,6,Services,17,17
Growth,7,Technology,29,27
Growth,233,Food,25,27
Growth,20,Services,20,19
No growth,250,Food,28,29
Growth,20,Services,10,10
Growth,5,Services,15,16
Growth,126,Food,9,10
Growth,34,Food,20,28
No growth,99,Food,20,26
Growth,16,Services,20,18
No growth,22,Services,20,14
No growth,350,Food,40,29
Growth,68,Technology,20,16
No growth,7,Food,6,26
No growth,3,Services,25,18
No growth,34,Services,27,29
Growth,400,Services,20,15
No growth,2,Services,25,12
No growth,5,Services,11,12
Growth,7,Services,15,15
Growth,5,Services,12,27
No growth,23,Services,25,25
Growth,1504,Food,20,15
No growth,272,Food,25,19
No growth,5,Food,15,12
Growth,223,Technology,15,13
No growth,8,Retail,21,22
No growth,11,Food,25,23
Growth,21,Food,20,21
No growth,39,Services,25,25
Growth,5,Services,12,26
No growth,50,Services,23,28
No growth,11,Retail,26,28
No growth,28,Technology,38,27
Growth,18,Food,15,16
Growth,8,Food,8,8
Growth,600,Food,30,29
Growth,200,Food,23,24
No growth,5,Services,29,30
Growth,5,Services,15,14
Growth,6,Food,30,29
No growth,5,Retail,26,27
No growth,10,Services,15,15
Growth,170,Food,27,28
Growth,18,Services,20,14
No growth,133,Food,30,29
Growth,2500,Services,12,22
Growth,35,Food,3,9
No growth,7,Retail,14,15
Growth,385,Technology,20,17
Growth,40,Services,10,29
Growth,14,Food,12,12
Growth,8,Services,15,15
Growth,23,Technology,8,9
Growth,10,Technology,20,22
Growth,7,Services,5,6
Growth,553,Food,30,8
Growth,9,Food,15,16
No growth,14,Services,25,14
Growth,105,Technology,25,26
Growth,16,Services,9,10
Growth,41,Services,20,17
Growth,130,Services,10,28
Growth,250,Services,20,12
No growth,36,Services,52,22
Growth,10,Food,15,15
Growth,45,Food,8,9
Growth,11,Food,25,25
Growth,98,Food,21,22
Growth,97,Food,20,22
Growth,29,Food,18,19
No growth,109,Services,15,17
No growth,20,Services,18,19
No growth,8,Services,10,11
Growth,24,Services,10,8
No growth,12,Retail,35,10
No growth,34,Food,20,19
Growth,335,Technology,27,29
Growth,6,Food,12,15
Growth,5,Services,10,26
Growth,14,Technology,17,18
Growth,25,Food,5,7
Growth,100,Services,15,16
Growth,11,Services,6,8
No growth,178,Services,18,19
Growth,12,Technology,25,27
Growth,6,Food,20,26
No growth,8,Services,12,13
Growth,32,Food,7,9
Growth,1410,Food,25,29
Growth,51,Technology,20,18
Growth,175,Services,15,10
No growth,12,Retail,7,18
No growth,8,Services,17,18
Growth,58,Food,25,26
Growth,150,Food,26,27
Growth,130,Food,27,28
No growth,120,Services,43,28
No growth,5,Food,7,9
Growth,27,Technology,27,29
Growth,200,Food,10,17
Growth,21,Food,25,26
Growth,75,Food,31,29
Growth,60,Services,16,28
Growth,36,Technology,19,21
No growth,66,Services,20,21
Growth,5,Technology,28,7
No growth,186,Food,11,26
Growth,4,Food,4,6
Growth,133,Services,28,27
No growth,70,Services,40,24
Growth,65,Technology,20,20
Growth,232,Services,26,28
Growth,5,Food,10,11
No growth,8,Retail,25,26
Growth,6,Services,7,7
No growth,28,Food,15,10
Growth,48,Technology,15,24
No growth,13,Services,15,26
No growth,10,Services,15,28
Growth,31,Food,25,24
No growth,24,Food,25,27
No growth,6,Food,20,25
Growth,37,Technology,20,18
No growth,150,Food,13,14
No growth,13,Services,27,29
Growth,120,Services,10,20
No growth,9,Retail,27,28
Growth,13,Technology,21,23
Growth,1446,Food,17,18
No growth,5,Services,35,23
No growth,81,Retail,10,9
Growth,35,Technology,50,28
No growth,105,Services,11,12
No growth,28,Technology,20,26
No growth,318,Food,17,19
Growth,48,Services,16,28
Growth,12,Services,9,13
Growth,400,Food,12,13
Growth,5,Food,25,28
Growth,14,Retail,20,17
Growth,70,Services,19,19
No growth,150,Services,25,25
Growth,583,Technology,20,18
No growth,389,Food,25,28
Growth,83,Food,20,22
Growth,94,Technology,40,25
Growth,46,Technology,36,64
Growth,53,Food,20,7
Growth,5,Services,13,14
Growth,66,Technology,20,29
No growth,4,Retail,25,26
Growth,21,Food,20,20
No growth,11,Retail,27,28
No growth,6,Services,19,20
No growth,8,Services,12,13
Growth,10,Food,10,11
No growth,200,Food,25,25
Growth,18,Services,5,15
No growth,33,Services,15,17
No growth,2,Technology,28,29
Growth,58,Food,16,18
Growth,5,Technology,26,28
No growth,130,Services,26,26
Growth,6,Services,10,16
Growth,59,Services,10,8
No growth,6,Services,18,19
Growth,13,Services,10,9
Growth,9,Services,10,4
Growth,5,Technology,18,25
No growth,5,Retail,14,12
No growth,6,Retail,15,16
Growth,11,Technology,10,12
No growth,200,Services,20,22
Growth,10,Technology,26,28
Growth,204,Food,30,29
No growth,10,Food,25,25
No growth,498,Technology,28,29
Growth,12,Food,8,15
No growth,275,Retail,20,27
Growth,10,Services,15,18
No growth,11,Retail,17,19
No growth,112,Services,20,20
Growth,8,Technology,30,24
No growth,7,Services,20,22
Growth,11,Services,10,6
Growth,19,Services,10,14
Growth,5,Services,19,20
Growth,227,Food,15,17
Growth,10,Food,25,26
Growth,25,Technology,10,6
Growth,182,Technology,15,22
No growth,250,Food,20,29
No growth,5,Food,25,24
No growth,15,Services,25,26
Growth,365,Services,20,17
No growth,84,Services,30,29
Growth,43,Technology,25,26
No growth,30,Services,28,29
Growth,67,Technology,28,29
No growth,5,Retail,6,7
Growth,47,Food,25,26
Growth,170,Technology,10,11
Growth,12,Services,16,17
Growth,12,Services,4,5
No growth,260,Food,25,26
Growth,33,Food,25,26
Growth,210,Technology,15,17
No growth,45,Services,40,20
No growth,120,Food,10,26
No growth,26,Retail,6,28
No growth,6,Services,20,21
Growth,305,Technology,10,8
No growth,6,Services,10,7
Growth,14,Technology,23,24
Growth,16,Technology,2,29
No growth,20,Services,25,27
Growth,54,Technology,50,29
Growth,10,Technology,10,13
No growth,5,Services,30,26
Growth,14,Food,40,7
No growth,18,Food,43,25
Growth,36,Technology,10,9
Growth,10,Services,20,13
Growth,20,Services,3,5
Growth,70,Technology,7,10
No growth,30,Services,15,12
Growth,40,Food,35,28
No growth,95,Food,10,10
No growth,30,Food,20,19
Growth,12,Services,25,15
Growth,29,Food,30,29
Growth,40,Technology,15,26
Growth,13,Food,13,15
No growth,8,Services,12,13
Growth,222,Technology,12,14
Growth,12,Technology,14,16
Growth,17,Technology,5,19
No growth,5,Services,30,17
Growth,15,Services,15,17
Growth,638,Food,15,29
Growth,18,Retail,20,18
No growth,5,Services,20,21
Growth,32,Food,10,15
Growth,138,Services,15,16
Growth,120,Technology,10,14
Growth,16,Food,5,6
Growth,12,Services,15,10
Growth,250,Food,28,29
No growth,6,Retail,13,14
Growth,9,Technology,17,18
Growth,49,Food,25,26
No growth,7,Services,34,14
No growth,5,Retail,10,16
Growth,7,Services,10,12
No growth,120,Retail,25,22
No growth,198,Retail,30,28
Growth,125,Food,25,27
Growth,250,Food,20,26
No growth,14,Services,25,27
No growth,91,Food,27,23
Growth,117,Food,19,20
No growth,10,Food,43,24
Growth,32,Retail,15,8
No growth,9,Food,5,5
Growth,11,Food,20,10
Growth,260,Retail,20,8
Growth,13,Services,15,16
Growth,191,Services,30,22
Growth,16,Technology,7,8
Growth,650,Food,20,29
Growth,77,Food,15,16
No growth,12,Retail,28,28
No growth,40,Services,30,29
Growth,32,Services,22,16
No growth,5,Technology,25,26
Growth,26,Technology,27,28
No growth,14,Services,20,28
No growth,117,Retail,15,16
Growth,7,Technology,40,27
No growth,7,Services,7,8
No growth,14,Technology,30,29
No growth,27,Food,20,7
No growth,19,Food,14,15
Growth,250,Food,28,28
No growth,7,Services,30,29
Growth,794,Technology,25,29
Growth,250,Food,10,26
Growth,5,Technology,15,17
No growth,8,Services,30,26
Growth,184,Food,25,27
Growth,116,Services,10,9
No growth,400,Food,25,26
No growth,10,Technology,35,29
No growth,100,Food,10,27
Growth,236,Food,20,26
Growth,23,Technology,25,27
Growth,14,Services,20,8
Growth,60,Food,27,28
Growth,11,Retail,19,21
Growth,32,Food,25,26
Growth,17,Food,15,17
Growth,18,Technology,18,19
No growth,17,Food,19,10
Growth,13,Food,15,8
Growth,93,Food,15,6
Growth,256,Services,16,28
Growth,5,Services,1,3
No growth,35,Retail,10,11
Growth,535,Food,35,38
Growth,60,Services,18,3
Growth,365,Technology,15,22
Growth,100,Food,8,27
Growth,30,Services,8,5
Growth,346,Technology,15,10
Growth,16,Services,8,10
Growth,42,Services,16,17
Growth,5,Services,11,14
No growth,6,Services,23,24
Growth,242,Food,20,17
Growth,45,Food,4,5
Growth,597,Services,25,6
Growth,32,Technology,14,15
Growth,28,Services,7,13
Growth,18,Technology,15,11
Growth,43,Technology,15,9
No growth,7,Retail,23,16
No growth,30,Food,22,17
Growth,273,Food,8,10
Growth,8,Services,10,5
No growth,17,Services,20,13
Growth,23,Services,4,6
Growth,104,Food,22,6
Growth,103,Services,18,20
No growth,7,Food,2,3
Growth,106,Technology,15,27
No growth,26,Retail,24,14
Growth,167,Food,10,15
No growth,17,Services,16,20
Growth,106,Services,16,17
Growth,90,Services,23,20
Growth,5,Services,15,14
Growth,8,Services,17,18
Growth,152,Services,25,18
Growth,5,Services,3,4
Growth,28,Technology,10,12
Growth,103,Services,7,8
No growth,11,Services,NA,17
Growth,25,Food,5,16
Growth,1186,Services,24,15
No growth,24,Food,12,3
Growth,150,Technology,16,18
Growth,410,Technology,12,14
No growth,240,Food,25,18
No growth,826,Food,26,18
Growth,6,Services,12,13
Growth,18,Technology,1,3
Growth,104,Technology,25,15
Growth,300,Services,20,8
No growth,41,Retail,15,18
Growth,9,Food,3,8
Growth,5,Services,4,5
No growth,10,Services,20,12
Growth,5,Services,15,12
Growth,8,Services,11,12
Growth,80,Services,30,17
No growth,19,Retail,26,25
Growth,15,Services,13,14
No growth,98,Retail,18,20
Growth,20,Services,10,17
Growth,111,Food,20,18
Growth,595,Food,10,5
Growth,6,Services,7,4
Growth,56,Food,20,22
Growth,12,Services,3,4
No growth,35,Services,16,17
Growth,45,Food,23,7
Growth,632,Food,20,21
Growth,7,Services,15,16
No growth,5,Services,10,11
Growth,98,Services,20,18
Growth,6,Retail,39,7
Growth,10,Services,2,4
Growth,120,Services,15,27
No growth,202,Services,11,10
Growth,6,Services,10,11
No growth,23,Services,10,7
Growth,8,Services,5,6
Growth,21,Services,10,9
No growth,25,Technology,20,21
No growth,15,Retail,20,28
Growth,18,Services,9,10
Growth,100,Food,30,18
Growth,10000,Technology,17,17
No growth,12,Services,25,15
Growth,104,Food,15,16
No growth,37,Services,15,8
Growth,23,Technology,15,5
Growth,72,Technology,16,17
No growth,20,Retail,12,13
Growth,200,Food,35,18
Growth,21,Services,20,12
Growth,7,Services,17,8
Growth,52,Technology,6,7
No growth,6,Retail,25,10
Growth,27,Technology,4,5
Growth,1000,Food,17,19
Growth,70,Food,10,17
Growth,270,Technology,13,13
Growth,112,Technology,21,15
Growth,18,Technology,4,5
Growth,22,Services,10,3
Growth,5,Services,15,14
Growth,263,Food,5,6
No growth,307,Technology,20,22
Growth,11,Food,6,7
Growth,26,Services,2,3
No growth,286,Food,20,20
No growth,109,Food,14,17
Growth,21,Services,22,18
Growth,15,Services,11,12
Growth,10,Services,16,17
Growth,31,Food,22,14
No growth,310,Food,28,30
No growth,57,Services,8,9
Growth,17,Food,6,8
Growth,120,Food,17,18
Growth,7,Services,16,17
No growth,114,Services,29,28
Growth,75,Technology,3,19
Growth,998,Technology,25,18
Growth,100,Food,10,11
No growth,23,Retail,7,8
No growth,335,Food,23,27
No growth,15,Services,10,9
No growth,22,Retail,27,28
No growth,96,Services,32,18
Growth,81,Technology,23,17
Growth,12,Services,12,13
No growth,389,Food,10,13
No growth,27,Retail,9,10
Growth,28,Food,21,12
No growth,16,Services,12,12
Growth,12,Technology,13,10
No growth,5,Services,12,12
Growth,10,Services,10,9
Growth,11,Technology,10,10
Growth,63,Services,12,13
Growth,37,Technology,25,21
No growth,52,Services,5,6
Growth,22,Services,1,3
Growth,25,Services,14,13
Growth,25,Services,5,7
Growth,165,Services,17,19
Growth,32,Technology,8,9
No growth,11,Services,15,3
No growth,5,Retail,15,14
Growth,184,Technology,22,25
No growth,82,Food,17,21
Growth,23,Services,8,4
Growth,7,Services,14,24
No growth,10,Retail,6,17
Growth,110,Technology,17,25
No growth,22,Retail,10,11
No growth,NA,Services,15,15
Growth,13,Services,4,5
No growth,220,Food,16,22
Growth,9,Technology,8,9
No growth,26,Services,9,10
Growth,184,Technology,15,16
Growth,103,Technology,30,25
Growth,285,Technology,10,13
Growth,469,Food,13,15
Growth,10,Services,8,6
Growth,18,Food,17,18
Growth,15,Services,2,4
Growth,12,Technology,8,5
Growth,18,Services,20,17
Growth,17,Services,17,18
Growth,15,Food,3,4
No growth,5,Retail,10,8
Growth,16,Technology,10,4
Growth,7,Services,10,12
Growth,124,Technology,15,27
Growth,6,Services,16,17
No growth,12,Food,6,7
Growth,425,Food,20,12
Growth,20,Services,11,4
No growth,151,Food,7,8
Growth,25,Services,25,5
Growth,300,Food,10,9
No growth,12,Retail,8,13
No growth,62,Retail,16,18
Growth,10,Services,11,7
Growth,25,Services,25,18
Growth,120,Food,20,8
Growth,144,Services,7,8
Growth,263,Food,18,10
No growth,128,Retail,14,15
Growth,460,Food,20,27
Growth,8,Services,5,7
Growth,424,Technology,26,12
No growth,14,Retail,19,26
No growth,10,Services,27,18
Growth,28,Services,14,15
No growth,6,Retail,10,28
No growth,12,Retail,11,11
Growth,24,Services,15,13
Growth,27,Food,20,4
Growth,15,Food,10,12
Growth,24,Technology,16,17
Growth,7,Services,6,7
No growth,436,Food,22,12
Growth,5,Services,11,4
Growth,11,Services,1,3
Growth,102,Technology,17,19
Growth,6,Services,1,3
Growth,10,Food,16,6
Growth,32,Food,6,7
Growth,8,Services,3,4
Growth,7,Services,23,13
Growth,17,Services,9,8
No growth,23,Retail,26,28
Growth,7,Food,4,6
Growth,320,Food,20,19
No growth,230,Services,25,25
Growth,5,Services,3,8
Growth,60,Services,10,6
Growth,482,Technology,20,27
No growth,15,Services,6,8
Growth,7,Services,20,3
Growth,22,Food,16,17
Growth,11,Services,17,18
Growth,103,Technology,13,14
No growth,276,Food,15,27
Growth,6,Services,13,27
Growth,7,Services,5,4
Growth,5,Services,5,8
No growth,8,Services,10,6
No growth,5,Food,13,12
No growth,31,Retail,15,15
Growth,6,Services,6,7
Growth,19,Food,14,18
Growth,278,Technology,12,8
No growth,1500,Retail,12,10
Growth,22,Services,1,3
Growth,5,Services,15,16
Growth,101,Food,20,6
No growth,8,Food,6,7
Growth,6,Services,14,4
Growth,16,Technology,13,14
Growth,18,Technology,30,15
Growth,5,Services,20,18
No growth,18,Services,16,18
Growth,403,Food,25,18
Growth,187,Food,25,18
Growth,8,Services,20,14
No growth,10000,Retail,15,11
Growth,15,Services,15,21
Growth,113,Technology,15,12
No growth,5,Services,10,6
No growth,2000,Food,40,55
Growth,12,Food,6,16
No growth,112,Food,20,11
No growth,22,Services,25,14
No growth,35,Retail,6,8
Growth,324,Food,24,18
Growth,21,Services,24,18
No growth,11,Retail,3,4
Growth,11,Food,12,8
Growth,125,Technology,23,27
Growth,7,Services,12,14
Growth,27,Technology,9,10
Growth,38,Food,10,12
Growth,165,Services,24,18
No growth,30,Food,20,8
Growth,74,Services,25,18
Growth,16,Services,11,12
No growth,547,Food,22,16
Growth,16,Services,22,18
Growth,55,Technology,6,7
Growth,26,Services,20,17
No growth,8,Retail,10,7
No growth,5,Services,6,8
Growth,11,Services,13,15
Growth,50,Services,15,16
Growth,22,Services,21,18
No growth,23,Services,20,9
No growth,15,Services,19,20
No growth,30,Services,8,9
Growth,27,Food,14,15
Growth,9,Services,13,12
No growth,17,Food,15,8
No growth,165,Food,18,9
No growth,76,Food,42,22
Growth,15,Services,13,14
No growth,13,Food,13,14
No growth,5,Services,25,18
Growth,8,Services,5,13
Growth,139,Technology,22,25
Growth,5,Services,7,5
No growth,12,Services,5,6
No growth,35,Services,24,16
No growth,221,Retail,18,15
No growth,10,Services,15,12
Growth,128,Food,20,23
Growth,10,Services,15,4
Growth,17,Services,5,6
Growth,25,Services,4,5
No growth,5,Retail,10,3
Growth,37,Technology,25,13
Growth,19,Services,10,5
Growth,25,Food,5,18
Growth,139,Technology,10,12
Growth,23,Technology,2,4
Growth,17,Technology,8,11
Growth,32,Technology,26,28
No growth,75,Food,10,6
No growth,25,Food,21,22
No growth,58,Food,25,8
Growth,108,Food,30,16
Growth,26,Technology,25,9
No growth,105,Food,25,27
Growth,15,Services,6,3
Growth,50,Food,15,21
Growth,120,Services,5,17
Growth,8,Services,1,4
Growth,280,Food,20,20
Growth,56,Services,14,22
No growth,300,Food,10,58
Growth,17,Food,13,14
Growth,556,Technology,25,27
No growth,101,Services,14,16
Growth,5,Services,20,18
Growth,165,Technology,17,18
Growth,641,Food,25,18
Growth,1000,Technology,6,53
Growth,4500,Food,22,26
Growth,8,Food,10,4
Growth,547,Food,5,21
Growth,195,Services,22,17
No growth,19,Retail,20,18
Growth,101,Services,15,17
Growth,17,Services,3,4
Growth,32,Technology,12,13
Growth,26,Retail,1,13
Growth,5,Services,16,16
Growth,103,Technology,7,8
Growth,22,Services,20,14
No growth,108,Food,7,8
Growth,11,Services,15,6
No growth,12,Services,10,5
No growth,10,Services,26,18
Growth,437,Food,25,17
Growth,5,Services,30,12
Growth,5,Services,17,13
Growth,18,Technology,15,15
Growth,24,Services,10,5
No growth,17,Retail,20,21
Growth,30,Services,9,9
No growth,32,Services,22,18
Growth,23,Services,6,6
Growth,143,Technology,25,26
Growth,15,Services,14,15
Growth,23,Technology,8,9
No growth,100,Services,14,15
No growth,16,Services,16,14
Growth,6,Services,10,11
Growth,12,Technology,10,11
Growth,1704,Technology,18,18
Growth,20,Technology,19,14
Growth,371,Food,15,19
Growth,129,Food,15,17
No growth,6,Services,14,17
Growth,11,Services,12,13
Growth,235,Technology,30,18
No growth,6,Retail,20,21
Growth,8,Services,13,14
Growth,111,Services,17,18
No growth,12,Services,16,17
Growth,23,Technology,1,3
No growth,35,Services,21,8
No growth,6,Retail,6,7
Growth,35,Technology,11,12
No growth,16,Services,17,6
Growth,45,Technology,15,16
Growth,1200,Technology,25,17
Growth,355,Food,25,23
Growth,87,Food,12,13
No growth,25,Food,18,21
Growth,32,Technology,10,5
